Jahr;Monat;Gemeinde;Logiernaechte
2013;Januar;Meiringen;5395
2013;Februar;Meiringen;8889
2013;Maerz;Meiringen;5377
2013;April;Meiringen;2754
2013;Mai;Meiringen;7426
2013;Juni;Meiringen;10207
2013;Juli;Meiringen;13075
2013;August;Meiringen;12749
2013;September;Meiringen;9686
2013;Oktober;Meiringen;5981
2013;November;Meiringen;1194
2013;Dezember;Meiringen;4746
2014;Januar;Meiringen;5553
2014;Februar;Meiringen;7426
2014;Maerz;Meiringen;6666
2014;April;Meiringen;4195
2014;Mai;Meiringen;7479
2014;Juni;Meiringen;9913
2014;Juli;Meiringen;10878
2014;August;Meiringen;11742
2014;September;Meiringen;9400
2014;Oktober;Meiringen;6807
2014;November;Meiringen;2273
2014;Dezember;Meiringen;4627
2015;Januar;Meiringen;6521
2015;Februar;Meiringen;9501
2015;Maerz;Meiringen;4984
2015;April;Meiringen;5156
2015;Mai;Meiringen;8615
2015;Juni;Meiringen;9996
2015;Juli;Meiringen;12258
2015;August;Meiringen;12704
2015;September;Meiringen;9967
2015;Oktober;Meiringen;6408
2015;November;Meiringen;2598
2015;Dezember;Meiringen;3833
2016;Januar;Meiringen;4485
2016;Februar;Meiringen;9263
2016;Maerz;Meiringen;5677
2016;April;Meiringen;2772
2016;Mai;Meiringen;7593
2016;Juni;Meiringen;8827
2016;Juli;Meiringen;11586
2016;August;Meiringen;11096
2016;September;Meiringen;8076
2016;Oktober;Meiringen;6093
2016;November;Meiringen;1668
2016;Dezember;Meiringen;2632
2017;Januar;Meiringen;3957
2017;Februar;Meiringen;7491
2017;Maerz;Meiringen;6311
2017;April;Meiringen;5115
2017;Mai;Meiringen;8756
2017;Juni;Meiringen;10352
2017;Juli;Meiringen;12202
2017;August;Meiringen;11192
2017;September;Meiringen;8610
2017;Oktober;Meiringen;8185
2017;November;Meiringen;3624
2017;Dezember;Meiringen;4397
2018;Januar;Meiringen;6752
2018;Februar;Meiringen;8763
2018;Maerz;Meiringen;7465
2018;April;Meiringen;6028
2018;Mai;Meiringen;9284
2018;Juni;Meiringen;10978
2018;Juli;Meiringen;9827
2018;August;Meiringen;9146
2018;September;Meiringen;8249
2018;Oktober;Meiringen;6716
2018;November;Meiringen;4071
2018;Dezember;Meiringen;4030
2019;Januar;Meiringen;4352
2019;Februar;Meiringen;7413
2019;Maerz;Meiringen;5113
2019;April;Meiringen;5966
2019;Mai;Meiringen;7007
2019;Juni;Meiringen;9156
2019;Juli;Meiringen;10895
2019;August;Meiringen;10222
2019;September;Meiringen;8789
2019;Oktober;Meiringen;7434
2019;November;Meiringen;3816
2019;Dezember;Meiringen;4051
2020;Januar;Meiringen;4151
2020;Februar;Meiringen;5256
2020;Maerz;Meiringen;1464
2020;April;Meiringen;107
2020;Mai;Meiringen;1549
2020;Juni;Meiringen;3252
2020;Juli;Meiringen;7306
2020;August;Meiringen;6108
2020;September;Meiringen;4918
2020;Oktober;Meiringen;3420
2020;November;Meiringen;860
2020;Dezember;Meiringen;1909
2021;Januar;Meiringen;1293
2021;Februar;Meiringen;3515
2021;Maerz;Meiringen;1567
2021;April;Meiringen;2681
2021;Mai;Meiringen;3361
2021;Juni;Meiringen;4544
2021;Juli;Meiringen;6676
2021;August;Meiringen;7222
2021;September;Meiringen;5181
2021;Oktober;Meiringen;3467
2021;November;Meiringen;1062
2021;Dezember;Meiringen;2902
2022;Januar;Meiringen;2777
2022;Februar;Meiringen;3463
2022;Maerz;Meiringen;3467
2022;April;Meiringen;2180
2022;Mai;Meiringen;3199
2022;Juni;Meiringen;5332
2022;Juli;Meiringen;7435
